Equipo,Disponible limite salarial,Disponible presupuesto,Disponible MLE,Caphold retenido,Efectivo LS (- Cap Hold),Efectivo Presupuesto (- firmas retrasadas)
"Atlanta Hawks",-57504998.00,495002.00,1827500.00,0.00,-57504998.00,495002.00
"Boston Celtics",-43402991.00,14597009.00,9370000.00,0.00,-43402991.00,14597009.00
"Brooklyn Nets",-20305577.00,34958423.00,4224475.00,0.00,-20305577.00,34958423.00
"Charlotte Hornets",-14872758.00,43127242.00,2170000.00,0.00,-14872758.00,43127242.00
"Chicago Bulls",-54601939.00,3398061.00,534250.00,0.00,-54601939.00,3398061.00
"Cleveland Cavaliers",-34679037.00,23320963.00,9370000.00,0.00,-34679037.00,23320963.00
"Dallas Mavericks",-27990778.00,18609222.00,370000.00,0.00,-27990778.00,18609222.00
"Denver Nuggets",-40372785.00,15347215.00,70000.00,0.00,-40372785.00,15347215.00
"Detroit Pistons",-49013833.00,8986167.00,14500.00,0.00,-49013833.00,8986167.00
"Golden State Warriors",-56538141.00,1461859.00,370000.00,0.00,-56538141.00,1461859.00
"Houston Rockets",467382.00,57327382.00,9370000.00,0.00,467382.00,57327382.00
"Indiana Pacers",-32569944.00,25430056.00,534250.00,0.00,-32569944.00,25430056.00
"Los Angeles Clippers",-17564855.00,39295145.00,9370000.00,0.00,-17564855.00,39295145.00
"Los Angeles Lakers",-55019483.00,2980517.00,9370000.00,0.00,-55019483.00,2980517.00
"Memphis Grizzlies",-10358008.00,47641992.00,9370000.00,0.00,-10358008.00,47641992.00
"Miami Heat",-47645977.00,10354023.00,770000.00,0.00,-47645977.00,10354023.00
"Milwaukee Bucks",-53625845.00,4374155.00,470000.00,0.00,-53625845.00,4374155.00
"Minnesota Timberwolves",-42749890.00,15250110.00,0.00,0.00,-42749890.00,15250110.00
"New Orleans Pelicans",-53573852.00,2146148.00,9370000.00,0.00,-53573852.00,2146148.00
"New York Knicks",-55877202.00,2122798.00,4870000.00,0.00,-55877202.00,2122798.00
"Oklahoma City Thunder",-51049331.00,6950669.00,0.00,0.00,-51049331.00,6950669.00
"Orlando Magic",-24244369.00,33755631.00,1417825.00,0.00,-24244369.00,33755631.00
"Philadelphia 76ers",-20810273.00,37189727.00,9370000.00,36576998.00,-57387271.00,37189727.00
"Phoenix Suns",-15757914.00,42242086.00,9370000.00,0.00,-15757914.00,42242086.00
"Portland Trail Blazers",-8242513.00,49757487.00,9370000.00,0.00,-8242513.00,49757487.00
"Sacramento Kings",-57026054.00,973946.00,3897032.00,0.00,-57026054.00,973946.00
"San Antonio Spurs",-9089436.00,48910564.00,1371047.00,0.00,-9089436.00,48910564.00
"Toronto Raptors",-44567198.00,9556802.00,9370000.00,2700000.00,-47267198.00,9556802.00
"Utah Jazz",-7175150.00,49684850.00,9370000.00,0.00,-7175150.00,49684850.00
"Washington Wizards",-51726545.00,6273455.00,9370000.00,0.00,-51726545.00,6273455.00